309.736, 129.489, 3.993,  4.379 False
309.602, 129.490, 4.022,  4.412 False
309.467, 129.490, 4.054,  4.445 False
309.331, 129.489, 4.083,  4.478 False
309.194, 129.489, 4.114,  4.511 False
309.056, 129.489, 4.144,  4.544 False
308.917, 129.489, 4.175,  4.577 False
308.777, 129.489, 4.205,  4.610 False
308.636, 129.489, 4.236,  4.643 False
308.495, 129.489, 4.266,  4.676 False
308.352, 129.489, 4.297,  4.709 False
308.208, 129.489, 4.327,  4.742 False
308.063, 129.489, 4.358,  4.775 False
307.917, 129.489, 4.387,  4.808 False
307.770, 129.489, 4.419,  4.841 False
307.621, 129.489, 4.448,  4.874 False
307.472, 129.489, 4.479,  4.907 False
307.322, 129.489, 4.508,  4.940 False
307.171, 129.489, 4.539,  4.973 False
307.019, 129.488, 4.568,  5.006 False
306.866, 129.487, 4.599,  5.039 False
306.712, 129.487, 4.628,  5.072 False
306.557, 129.487, 4.660,  5.105 False
306.401, 129.487, 4.689,  5.138 False
306.244, 129.487, 4.720,  5.171 False
306.086, 129.487, 4.750,  5.204 False
305.927, 129.486, 4.780,  5.237 False
305.767, 129.486, 4.809,  5.270 False
305.606, 129.486, 4.840,  5.303 False
305.444, 129.486, 4.869,  5.336 False
305.281, 129.486, 4.900,  5.369 False
305.117, 129.486, 4.929,  5.402 False
304.952, 129.485, 4.960,  5.435 False
304.785, 129.485, 4.989,  5.468 False
304.618, 129.485, 5.021,  5.501 False
304.450, 129.485, 5.049,  5.534 False
304.281, 129.485, 5.081,  5.567 False
304.111, 129.485, 5.109,  5.600 False
303.940, 129.485, 5.141,  5.633 False
303.768, 129.485, 5.169,  5.666 False
303.595, 129.484, 5.201,  5.699 False
303.421, 129.484, 5.221,  5.732 False
303.247, 129.484, 5.227,  5.765 False
303.073, 129.485, 5.219,  5.798 False
302.900, 129.485, 5.220,  5.831 False
302.726, 129.485, 5.228,  5.864 False
302.551, 129.486, 5.247,  5.897 False
302.375, 129.488, 5.274,  5.930 False
302.199, 129.491, 5.309,  5.963 False
302.021, 129.495, 5.348,  5.996 False
301.841, 129.498, 5.392,  6.029 False
301.660, 129.503, 5.434,  6.062 False
301.478, 129.508, 5.479,  6.095 False
301.294, 129.511, 5.522,  6.128 False
301.109, 129.514, 5.564,  6.161 False
300.922, 129.517, 5.602,  6.194 False
300.735, 129.519, 5.639,  6.227 False
300.546, 129.524, 5.673,  6.260 False
300.356, 129.531, 5.708,  6.293 False
300.165, 129.538, 5.741,  6.326 False
299.973, 129.545, 5.775,  6.359 False
299.780, 129.553, 5.807,  6.392 False
299.586, 129.560, 5.841,  6.425 False
299.390, 129.568, 5.873,  6.458 False
299.194, 129.576, 5.906,  6.491 False
298.996, 129.585, 5.938,  6.524 False
298.798, 129.593, 5.972,  6.557 False
298.598, 129.602, 6.003,  6.590 False
298.398, 129.611, 6.037,  6.623 False
298.196, 129.621, 6.068,  6.656 False
297.993, 129.632, 6.101,  6.689 False
297.789, 129.643, 6.132,  6.722 False
297.585, 129.654, 6.165,  6.755 False
297.379, 129.664, 6.196,  6.788 False
297.172, 129.675, 6.228,  6.821 False
296.964, 129.685, 6.258,  6.854 False
296.755, 129.696, 6.290,  6.887 False
296.544, 129.707, 6.320,  6.920 False
296.333, 129.719, 6.352,  6.953 False
296.121, 129.731, 6.381,  6.986 False
295.908, 129.743, 6.413,  7.019 False
295.694, 129.755, 6.443,  7.052 False
295.479, 129.767, 6.475,  7.085 False
295.263, 129.780, 6.504,  7.118 False
295.046, 129.792, 6.536,  7.151 False
294.828, 129.806, 6.565,  7.184 False
294.608, 129.819, 6.597,  7.217 False
294.388, 129.833, 6.627,  7.250 False
294.167, 129.847, 6.658,  7.283 False
293.945, 129.863, 6.686,  7.316 False
293.722, 129.880, 6.717,  7.349 False
293.498, 129.898, 6.745,  7.382 False
293.273, 129.916, 6.776,  7.415 False
293.048, 129.935, 6.803,  7.448 False
292.821, 129.955, 6.834,  7.481 False
292.594, 129.976, 6.861,  7.514 False
292.365, 129.998, 6.891,  7.547 False
292.136, 130.018, 6.920,  7.580 False
291.905, 130.037, 6.951,  7.613 False
291.674, 130.057, 6.978,  7.646 False
291.441, 130.077, 7.009,  7.679 False
291.208, 130.099, 7.035,  7.712 False
290.974, 130.121, 7.065,  7.745 False
290.739, 130.144, 7.092,  7.778 False
290.503, 130.167, 7.123,  7.811 False
290.266, 130.189, 7.150,  7.844 False
290.028, 130.211, 7.181,  7.877 False
289.789, 130.232, 7.208,  7.910 False
289.549, 130.254, 7.238,  7.943 False
289.308, 130.276, 7.265,  7.976 False
289.066, 130.297, 7.295,  8.009 False
288.823, 130.318, 7.323,  8.042 False
288.579, 130.340, 7.353,  8.075 False
288.334, 130.361, 7.380,  8.108 False
288.088, 130.382, 7.410,  8.141 False
287.841, 130.403, 7.437,  8.174 False
287.594, 130.424, 7.467,  8.207 False
287.345, 130.444, 7.493,  8.240 False
287.095, 130.465, 7.523,  8.273 False
286.845, 130.485, 7.550,  8.306 False
286.593, 130.506, 7.580,  8.339 False
286.341, 130.527, 7.607,  8.372 False
286.087, 130.547, 7.637,  8.405 False
285.833, 130.568, 7.664,  8.438 False
285.577, 130.588, 7.694,  8.471 False
285.321, 130.608, 7.721,  8.504 False
285.064, 130.628, 7.751,  8.537 False
284.805, 130.647, 7.777,  8.570 False
284.546, 130.665, 7.807,  8.603 False
284.285, 130.681, 7.834,  8.636 False
